"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 09 22:53:24 ICT 2021","Mon Aug 09 22:53:35 ICT 2021","11054","Wordpress - Admin","Run on CHROME","com.wordpress.posts.Level_14_Log_Report_HTML","com.wordpress.posts.Level_14_Log_Report_HTML","Login_01_Element_Displayed","Login_01_Element_Displayed","Register to system and verify registered successs"
"broken","Mon Aug 09 22:52:52 ICT 2021","Mon Aug 09 22:52:52 ICT 2021","3","Wordpress - Admin","Run on CHROME","com.wordpress.posts.Level_14_Log_Report_HTML","com.wordpress.posts.Level_14_Log_Report_HTML","beforeClass","beforeClass",""
